Bitki Adi,Hastalik veya Zararli,Etken Madde
Bilinmiyor,Şeftali küllemesi (Sphaerotheca pannosa var. persicae),250 g/l Fluopyram+ 250 g/l Trifloxystrobin
Bilinmiyor,Çiçek monilyası (Monilinia laxa = Sclerotinia laxa),250 g/l Fluopyram+ 250 g/l Trifloxystrobin
Bilinmiyor,Turunçgil kırmızıörümceği (Panonychus citri),111 g/l Cyflumetofen
Bilinmiyor,Sarımsak güvesi (Dyspessa ulula),480 g/l Spinosad
Bilinmiyor,Sarımsak güvesi (Dyspessa ulula),100 g/l Cypermethrin
Bilinmiyor,İki noktalı kırmızıörümcek (Tetranychus urticae),%10 hexythiazox
Bilinmiyor,İki noktalı kırmızıörümcek (Tetranychus urticae),%20 Tebufenpyrad
Bilinmiyor,Anason güvesi (Depressaria daucivorella),480 g/l Spinosad
Bilinmiyor,Kırmızı örümcekler (Tetranychus spp.),%80 Kükürt
Bilinmiyor,Kırmızı örümcekler (Tetranychus spp.),10 g/l Azadirachtin A
Bilinmiyor,Turunçgil unlubiti (Planococcus citri),600 g/l Orange oil
Bilinmiyor,Turunçgil unlubiti (Planococcus citri),60 g/l Orange oil
Bilinmiyor,Turunçgil unlubiti (Planococcus citri),700 g/l Mineral Yağ
Bilinmiyor,Turunçgil unlubiti (Planococcus citri),800 g/l Mineral Yağ
Bilinmiyor,Dipkurtları (Capnodis spp.),100 g/l Chlorantraniliprole + 50 g/l Lambda-cyhalothrin
Bilinmiyor,Kırmızı örümcekler (Tetranychus spp.),%80 Kükürt
Bilinmiyor,Kırmızı örümcekler (Tetranychus spp.),700 g/l Mineral Yağ
Bilinmiyor,Kırmızı örümcekler (Tetranychus spp.),200 g/l Cyflumetofen
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)",10 üzeri 8 cfu/g + Trichoderma aspellerum ırk ICC 012 ve Trichoderma gamsii ırk ICC 080
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)",Trichoderma viride 1x10 üzeri 8 kob/ml min.
Bilinmiyor,Kurşuni küf (Botrytis cinerea),Bacillus amyloliquefaciens ırkı MBI 600 >5.5x10 üzeri 10 cfu/g
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Pythium spp., Rhizoctonia spp.)",350 g/l Metalaxyl-m
Bilinmiyor,Sebzelerde beyaz çürüklük (Sclerotinia sclerotiorum),"%1,34 Bacillus amyloliquefaciens (B. subtilis) strain QST 713 min.1x10 üzeri 9 cfu/ml"
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)","%1,34 Bacillus amyloliquefaciens (B. subtilis) strain QST 713 min.1x10 üzeri 9 cfu/ml"
Bilinmiyor,Kurşuni küf (Botrytis cinerea),"%1,34 Bacillus amyloliquefaciens (B. subtilis) strain QST 713 min.1x10 üzeri 9 cfu/ml"
Bilinmiyor,Kurşuni küf (Botrytis cinerea),"%25,2 Boscalid + %12,8 Pyraclostrobin"
Bilinmiyor,Sebzelerde beyaz çürüklük (Sclerotinia sclerotiorum),"%25,2 Boscalid + %12,8 Pyraclostrobin"
Bilinmiyor,"Mildiyö (Plasmopara spp, Bremia lactucae)",250 g/l Azoxystrobin
Bilinmiyor,"Yaprağı Yenen Sebzelerde Beyaz Pas (Albugo candida, Wilsoniana occidentalis, Wilsoniana portulacae)",250 g/l Azoxystrobin
Bilinmiyor,"Yaprağı Yenen Sebzelerde Beyaz Pas (Albugo candida, Wilsoniana occidentalis, Wilsoniana portulacae)",700 g/l Kükürt
Bilinmiyor,"Yaprağı Yenen Sebzelerde Beyaz Pas (Albugo candida, Wilsoniana occidentalis, Wilsoniana portulacae)","639,8 g/l Neem yağı ekstraktı"
Bilinmiyor,Alternaria yaprak lekesi (Alternaria spp.),250 g/l Azoxystrobin
Bilinmiyor,"Mildiyö (Plasmopara spp, Bremia lactucae)",250 g/l Azoxystrobin
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Pythium spp., Rhizoctonia spp.)",350 g/l Metalaxyl-m
Bilinmiyor,"Sebzelerde septorya yaprak lekesi (Septoria apiicola, S.lycopersici, S.petroselini)",250 g/l Azoxystrobin
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)",10 üzeri 8 cfu/g + Trichoderma aspellerum ırk ICC 012 ve Trichoderma gamsii ırk ICC 080
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)",Trichoderma viride 1x10 üzeri 8 kob/ml min.
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)","%1,34 Bacillus amyloliquefaciens (B. subtilis) strain QST 713 min.1x10 üzeri 9 cfu/ml"
Bilinmiyor,KÜLLEME (Erysiphe spp.),700 g/l Kükürt
Bilinmiyor,KÜLLEME (Erysiphe spp.),"%1,34 Bacillus amyloliquefaciens (B. subtilis) strain QST 713 min.1x10 üzeri 9 cfu/ml"
Bilinmiyor,KÜLLEME (Erysiphe spp.),250 g/l Azoxystrobin
Bilinmiyor,Alternaria yaprak lekesi (Alternaria spp.),250 g/l Azoxystrobin
Bilinmiyor,"Sebzelerde septorya yaprak lekesi (Septoria apiicola, S.lycopersici, S.petroselini)",250 g/l Azoxystrobin
Bilinmiyor,"Yaprağı Yenen Sebzelerde Beyaz Pas (Albugo candida, Wilsoniana occidentalis, Wilsoniana portulacae)",700 g/l Kükürt
Bilinmiyor,"Yaprağı Yenen Sebzelerde Beyaz Pas (Albugo candida, Wilsoniana occidentalis, Wilsoniana portulacae)","639,8 g/l Neem yağı ekstraktı"
Bilinmiyor,"Yaprağı Yenen Sebzelerde Beyaz Pas (Albugo candida, Wilsoniana occidentalis, Wilsoniana portulacae)",250 g/l Azoxystrobin
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Pythium spp., Rhizoctonia spp.)",350 g/l Metalaxyl-m
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)",10 üzeri 8 cfu/g + Trichoderma aspellerum ırk ICC 012 ve Trichoderma gamsii ırk ICC 080
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)","%1,34 Bacillus amyloliquefaciens (B. subtilis) strain QST 713 min.1x10 üzeri 9 cfu/ml"
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)",Trichoderma viride 1x10 üzeri 8 kob/ml min.
Bilinmiyor,"Yaprağı Yenen Sebzelerde Beyaz Pas (Albugo candida, Wilsoniana occidentalis, Wilsoniana portulacae)",250 g/l Azoxystrobin
Bilinmiyor,Yaprakbitleri (Aphis spp.),10 g/l Azadirachtin A
Bilinmiyor,"Yaprağı Yenen Sebzelerde Beyaz Pas (Albugo candida, Wilsoniana occidentalis, Wilsoniana portulacae)","639,8 g/l Neem yağı ekstraktı"
Bilinmiyor,"Yaprağı Yenen Sebzelerde Beyaz Pas (Albugo candida, Wilsoniana occidentalis, Wilsoniana portulacae)",700 g/l Kükürt
Bilinmiyor,"Mildiyö (Plasmopara spp, Bremia lactucae)",250 g/l Azoxystrobin
Bilinmiyor,Alternaria yaprak lekesi (Alternaria spp.),250 g/l Azoxystrobin
Bilinmiyor,"Sebzelerde septorya yaprak lekesi (Septoria apiicola, S.lycopersici, S.petroselini)",250 g/l Azoxystrobin
Bilinmiyor,KÜLLEME (Erysiphe spp.),700 g/l Kükürt
Bilinmiyor,KÜLLEME (Erysiphe spp.),"%1,34 Bacillus amyloliquefaciens (B. subtilis) strain QST 713 min.1x10 üzeri 9 cfu/ml"
Bilinmiyor,KÜLLEME (Erysiphe spp.),250 g/l Azoxystrobin
Bilinmiyor,"Yaprağı Yenen Sebzelerde Beyaz Pas (Albugo candida, Wilsoniana occidentalis, Wilsoniana portulacae)",250 g/l Azoxystrobin
Bilinmiyor,"Yaprağı Yenen Sebzelerde Beyaz Pas (Albugo candida, Wilsoniana occidentalis, Wilsoniana portulacae)","639,8 g/l Neem yağı ekstraktı"
Bilinmiyor,"Yaprağı Yenen Sebzelerde Beyaz Pas (Albugo candida, Wilsoniana occidentalis, Wilsoniana portulacae)",700 g/l Kükürt
Bilinmiyor,KÜLLEME (Erysiphe spp.),250 g/l Azoxystrobin
Bilinmiyor,KÜLLEME (Erysiphe spp.),700 g/l Kükürt
Bilinmiyor,KÜLLEME (Erysiphe spp.),"%1,34 Bacillus amyloliquefaciens (B. subtilis) strain QST 713 min.1x10 üzeri 9 cfu/ml"
Bilinmiyor,Kurşuni küf (Botrytis cinerea),"%25,2 Boscalid + %12,8 Pyraclostrobin"
Bilinmiyor,Sebzelerde beyaz çürüklük (Sclerotinia sclerotiorum),"%25,2 Boscalid + %12,8 Pyraclostrobin"
Bilinmiyor,Sebzelerde beyaz çürüklük (Sclerotinia sclerotiorum),"%1,34 Bacillus amyloliquefaciens (B. subtilis) strain QST 713 min.1x10 üzeri 9 cfu/ml"
Bilinmiyor,Kurşuni küf (Botrytis cinerea),"%1,34 Bacillus amyloliquefaciens (B. subtilis) strain QST 713 min.1x10 üzeri 9 cfu/ml"
Bilinmiyor,Kurşuni küf (Botrytis cinerea),Bacillus amyloliquefaciens ırkı MBI 600 >5.5x10 üzeri 10 cfu/g
Bilinmiyor,Alternaria yaprak lekesi (Alternaria spp.),250 g/l Azoxystrobin
Bilinmiyor,"Mildiyö (Plasmopara spp, Bremia lactucae)",250 g/l Azoxystrobin
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Pythium spp., Rhizoctonia spp.)",350 g/l Metalaxyl-m
Bilinmiyor,"Sebzelerde septorya yaprak lekesi (Septoria apiicola, S.lycopersici, S.petroselini)",250 g/l Azoxystrobin
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)",10 üzeri 8 cfu/g + Trichoderma aspellerum ırk ICC 012 ve Trichoderma gamsii ırk ICC 080
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)","%1,34 Bacillus amyloliquefaciens (B. subtilis) strain QST 713 min.1x10 üzeri 9 cfu/ml"
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)",Trichoderma viride 1x10 üzeri 8 kob/ml min.
Bilinmiyor,Sebzelerde beyaz çürüklük (Sclerotinia sclerotiorum),"%25,2 Boscalid + %12,8 Pyraclostrobin"
Bilinmiyor,Sebzelerde beyaz çürüklük (Sclerotinia sclerotiorum),"%1,34 Bacillus amyloliquefaciens (B. subtilis) strain QST 713 min.1x10 üzeri 9 cfu/ml"
Bilinmiyor,Kurşuni küf (Botrytis cinerea),"%1,34 Bacillus amyloliquefaciens (B. subtilis) strain QST 713 min.1x10 üzeri 9 cfu/ml"
Bilinmiyor,Kurşuni küf (Botrytis cinerea),Bacillus amyloliquefaciens ırkı MBI 600 >5.5x10 üzeri 10 cfu/g
Bilinmiyor,Kurşuni küf (Botrytis cinerea),"%25,2 Boscalid + %12,8 Pyraclostrobin"
Bilinmiyor,Alternaria yaprak lekesi (Alternaria spp.),250 g/l Azoxystrobin
Bilinmiyor,"Mildiyö (Plasmopara spp, Bremia lactucae)",250 g/l Azoxystrobin
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Pythium spp., Rhizoctonia spp.)",350 g/l Metalaxyl-m
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)",10 üzeri 8 cfu/g + Trichoderma aspellerum ırk ICC 012 ve Trichoderma gamsii ırk ICC 080
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)","%1,34 Bacillus amyloliquefaciens (B. subtilis) strain QST 713 min.1x10 üzeri 9 cfu/ml"
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)",Trichoderma viride 1x10 üzeri 8 kob/ml min.
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)",Trichoderma viride 1x10 üzeri 8 kob/ml min.
Bilinmiyor,MİLDİYÖ ((Peronospora belbahrii)),250 g/l Azoxystrobin
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)","%1,34 Bacillus amyloliquefaciens (B. subtilis) strain QST 713 min.1x10 üzeri 9 cfu/ml"
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Rhizoctonia spp.)",10 üzeri 8 cfu/g + Trichoderma aspellerum ırk ICC 012 ve Trichoderma gamsii ırk ICC 080
Bilinmiyor,Besin Noksanlığı,NPK 20-20-20
Bilinmiyor,Demir Klorozu,Şelatlı Demir EDTA
Bilinmiyor,Domates Sarı Yaprak Kıvırcıklık,İmidakloprid 350 SC
Bilinmiyor,Kırmızı Örümcek,Abamektin 1.8 EC
Bilinmiyor,"Toprak kökenli patojenler (Fusarium spp., Macrophomina spp., Phytophthora spp., Pythium spp., Rhizoctonia spp.)",350 g/l Metalaxyl-m
Bilinmiyor,Alternaria yaprak lekesi (Alternaria spp.),250 g/l Azoxystrobin
Bilinmiyor,"Sebzelerde septorya yaprak lekesi (Septoria apiicola, S.lycopersici, S.petroselini)",250 g/l Azoxystrobin
Bilinmiyor,KÜLLEME (Erysiphe spp.),700 g/l Kükürt
Bilinmiyor,KÜLLEME (Erysiphe spp.),"%1,34 Bacillus amyloliquefaciens (B. subtilis) strain QST 713 min.1x10 üzeri 9 cfu/ml"
Bilinmiyor,KÜLLEME (Erysiphe spp.),250 g/l Azoxystrobin
Bilinmiyor,Yaprakbitleri (Aphis spp.),%50 Flonicamid
Bilinmiyor,Kurşuni Küf (Botrytis sp.),45 g/l Laminarin
Bilinmiyor,Kurşuni Küf (Botrytis sp.),200 g/l Penthiopyrad
Bilinmiyor,Bozkurt (Agrotis spp.),100 g/l Cypermethrin
Bilinmiyor,Yeşilkurt (Helicoverpa armigera),100 g/l Cypermethrin
Bilinmiyor,KÜLLEME (Erysiphe spp.),45 g/l Laminarin
Bilinmiyor,KÜLLEME (Erysiphe spp.),"639,8 g/l Neem yağı ekstraktı"
Bilinmiyor,KÜLLEME (Erysiphe spp.),700 g/l Kükürt
Bilinmiyor,Mildiyö (Phytophthora infestans),600 g/l Phosphorous Acid (mono ve di-potasyum tuzları)
Bilinmiyor,Kurşuni Küf (Botrytis sp.),"%37,5 Cyprodinil + %25 Fludioxonil"
Bilinmiyor,KÜLLEME (Erysiphe spp.),"%37,5 Cyprodinil + %25 Fludioxonil"
Bilinmiyor,Mildiyö (Phytophthora infestans),"%37,5 Cyprodinil + %25 Fludioxonil"
Bilinmiyor,İki noktalı kırmızıörümcek (Tetranychus urticae),10 g/l Azadirachtin A
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",100 g/l Cyantraniliprole
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",10 g/l Azadirachtin A
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",60 g/l Orange oil
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",10 g/l Azadirachtin A
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",100 g/l Cyantraniliprole
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",60 g/l Orange oil
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",10 g/l Azadirachtin A
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",100 g/l Cyantraniliprole
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",60 g/l Orange oil
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",10 g/l Azadirachtin A
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",100 g/l Cyantraniliprole
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",60 g/l Orange oil
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",10 g/l Azadirachtin A
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",100 g/l Cyantraniliprole
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",60 g/l Orange oil
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",10 g/l Azadirachtin A
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",100 g/l Cyantraniliprole
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",60 g/l Orange oil
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",10 g/l Azadirachtin A
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",100 g/l Cyantraniliprole
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",60 g/l Orange oil
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",10 g/l Azadirachtin A
Bilinmiyor,"Çiçek tripsi, Tütün tripsi (Frankliniella occidentalis, Thrips tabaci)",100 g/l Cyantraniliprole
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",100 g/l Cyantraniliprole
Bilinmiyor,"Yaprakbitleri (Aphis gossypii, Myzus persicae, Macrosiphum euphorbiae)",60 g/l Orange oil
Bilinmiyor,"Çiçek tripsi, Tütün tripsi (Frankliniella occidentalis, Thrips tabaci)",480 g/l Spinosad
Bilinmiyor,"Çiçek tripsi, Tütün tripsi (Frankliniella occidentalis, Thrips tabaci)",480 g/l Spinosad
