Ticari Isim,Etken Madde,Formulasyon
FENOMİR,Fenpyroximate,SC
ADAMA,Abamectin,EC
CONFIDOR,Imidacloprid,SC
REGLONE,Diquat,SL
JORTHAL (İMAL),296 g/l Azoxystrobin + 218 g/l Flutriafol,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FENOMİR 125 SC (İMAL),125 g/l Flutriafol,SC (Akıcı Konsantre/Süspansiyon Konsantre)
WECTROM (İTHAL),500 g/l Clofentezine,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DEPLASMAN 050 SC (İMAL),50 g/l Deltamethrin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PESİNET SC 361 (İTHAL),"361,1 g/l Metalik bakıra eşdeğer bakır hidroksit",SC (Akıcı Konsantre/Süspansiyon Konsantre)
KİNG'S BONUS (İTHAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül)
KİNG'S DANCER (İTHAL),%80 Captan,WG (Suda Dağılabilen Granül)
KİNG'S WARSHİP (İTHAL),150 g/l Cyprodinil + 100 g/l Fludioxonil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SECTHOR 45 OD (İMAL),45 g/l Pyroxsulam + 90 g/l Cloquintocet-mexyl (safener),OD (Yağda Dağılabilen)
SPECULA (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre)
ARFİTO (İMAL),500 g/l Fluazinam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SAETA (İTHAL),%80 Fosetyl-Al,WG (Suda Dağılabilen Granül)
MOLİENDO WG 800 (İMAL),%80 Fosetyl-Al,WG (Suda Dağılabilen Granül)
CAMIX 560 SE (İTHAL),500 g/l S-metolachlor+60 g/l Mesotrione,SE (Suspo-Emülsiyon)
THRIX (İTHAL),"0,5 g (S)-(-)- verbenone + 0,5 g p- Anisaldehyde+ 25*40 cm Mavi Yapışkan Tuzak",--- (-)
VEFDOWN 70 WG (İMAL),%70 Metamitron,WG (Suda Dağılabilen Granül)
TAROST (İMAL),270 g/l Terbuthylazine + 64 g/l Pendimethalin,SE (Suspo-Emülsiyon)
COUNTER 50 CS (İMAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon)
EFDAL BLANK SE (İMAL),270 g/l Terbuthylazine + 64 g/l Pendimethalin,SE (Suspo-Emülsiyon)
NAKASO OD (İMAL),"37,5 g/l Mesotrione + 15 g/l Nicosulfuron",OD (Yağda Dağılabilen)
