Ticari İsim,Etken Madde,Formulasyon,Kategori ID
FENOMİR,Fenpyroximate,SC,6
ADAMA,Abamectin,EC,6
CONFIDOR,Imidacloprid,SC,6
REGLONE,Diquat,SL,6
JORTHAL (İMAL),296 g/l Azoxystrobin + 218 g/l Flutriafol,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
FENOMİR 125 SC (İMAL),125 g/l Flutriafol,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
WECTROM (İTHAL),500 g/l Clofentezine,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
DEPLASMAN 050 SC (İMAL),50 g/l Deltamethrin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
PESİNET SC 361 (İTHAL),"361,1 g/l Metalik bakıra eşdeğer bakır hidroksit",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
KİNG'S BONUS (İTHAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül),6
KİNG'S DANCER (İTHAL),%80 Captan,WG (Suda Dağılabilen Granül),6
KİNG'S WARSHİP (İTHAL),150 g/l Cyprodinil + 100 g/l Fludioxonil,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SECTHOR 45 OD (İMAL),45 g/l Pyroxsulam + 90 g/l Cloquintocet-mexyl (safener),OD (Yağda Dağılabilen),6
SPECULA (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre),6
ARFİTO (İMAL),500 g/l Fluazinam,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SAETA (İTHAL),%80 Fosetyl-Al,WG (Suda Dağılabilen Granül),6
MOLİENDO WG 800 (İMAL),%80 Fosetyl-Al,WG (Suda Dağılabilen Granül),6
CAMIX 560 SE (İTHAL),500 g/l S-metolachlor+60 g/l Mesotrione,SE (Suspo-Emülsiyon),6
THRIX (İTHAL),"0,5 g (S)-(-)- verbenone + 0,5 g p- Anisaldehyde+ 25*40 cm Mavi Yapışkan Tuzak",--- (-),6
VEFDOWN 70 WG (İMAL),%70 Metamitron,WG (Suda Dağılabilen Granül),6
TAROST (İMAL),270 g/l Terbuthylazine + 64 g/l Pendimethalin,SE (Suspo-Emülsiyon),6
COUNTER 50 CS (İMAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon),6
EFDAL BLANK SE (İMAL),270 g/l Terbuthylazine + 64 g/l Pendimethalin,SE (Suspo-Emülsiyon),6
NAKASO OD (İMAL),"37,5 g/l Mesotrione + 15 g/l Nicosulfuron",OD (Yağda Dağılabilen),6
LARVOLİ 65 EC (İMAL),650 g/l Malathion,EC (Emülsiye Olabilen Konsantre),6
BUNSEKİ 25 SL (İMAL),25 g/l Imazamox,SL (Suda Çözünen Konsantre),6
GANİMET 360 SL (İMAL),360 g/l Hymexazole,SL (Suda Çözünen Konsantre),6
EMİCE 45 (İTHAL),45 g/l Pinoxaden + 20 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre),6
ARLONG 120 SC (İMAL),120 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
FENRYA (İMAL),500 g/l Fluazinam,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ZIXOR (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
SUBVERT (İTHAL),"185.5 g/l (E,Z)-7,9-Dodecadien-1- yl Acetate",CS (Kapsül Süspansiyon),6
FERCEPA (İMAL),60 g/l Carfentrazone-ethyl,ME (Mikro-Emülsiyon),6
GAMEUP 85 WG (İMAL),%85 Pyroxasulfone,WG (Suda Dağılabilen Granül),6
LAVORO 10 EC (İMAL),100 g/l Tetraconazole,EC (Emülsiye Olabilen Konsantre),6
MAGNİFİCENT (İMAL),%50 Trifloxystrobin,WG (Suda Dağılabilen Granül),6
